,Date,Product ID,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Sales
566,2022-01-06,P0007,Groceries,North,80,68.16,15,Rainy,1,71.46,Autumn,4634.879999999999
567,2022-01-06,P0008,Clothing,South,167,13.17,5,Snowy,0,15.66,Summer,2089.4204999999997
568,2022-01-06,P0009,Furniture,North,166,90.13,15,Sunny,0,86.94,Spring,12717.342999999999
569,2022-01-06,P0010,Clothing,North,49,97.69,10,Cloudy,0,96.13,Summer,4308.129
570,2022-01-06,P0011,Electronics,West,26,46.28,5,Sunny,1,45.18,Summer,1143.116
571,2022-01-06,P0012,Clothing,North,73,77.85,0,Cloudy,0,81.15,Spring,5683.049999999999
572,2022-01-06,P0013,Toys,West,257,23.32,0,Cloudy,0,19.92,Autumn,5993.24
573,2022-01-06,P0014,Groceries,East,50,75.87,15,Rainy,0,77.66,Winter,3224.475
574,2022-01-06,P0015,Furniture,West,49,90.79,15,Snowy,1,91.53,Autumn,3781.4035
575,2022-01-06,P0016,Electronics,West,24,81.37,15,Snowy,1,84.52,Spring,1659.948
576,2022-01-06,P0017,Electronics,South,192,33.34,5,Rainy,1,29.25,Spring,6081.216
577,2022-01-06,P0018,Electronics,South,47,95.48,5,Rainy,0,95.64,Winter,4263.182
578,2022-01-06,P0019,Furniture,South,325,33.58,20,Cloudy,1,34.57,Autumn,8730.800000000001
579,2022-01-06,P0020,Furniture,West,150,29.27,20,Cloudy,0,31.37,Summer,3512.4
660,2022-01-07,P0001,Toys,West,13,91.6,20,Rainy,0,93.9,Winter,952.64
661,2022-01-07,P0002,Toys,North,46,79.31,0,Sunny,1,80.4,Summer,3648.26
662,2022-01-07,P0003,Electronics,North,49,63.03,15,Cloudy,0,58.96,Spring,2625.1995
663,2022-01-07,P0004,Groceries,East,92,44.43,10,Rainy,0,43.14,Winter,3678.804
664,2022-01-07,P0005,Clothing,North,108,80.61,15,Snowy,1,82.67,Summer,7399.997999999999
665,2022-01-07,P0006,Groceries,East,343,59.12,20,Cloudy,0,60.54,Summer,16222.528
666,2022-01-07,P0007,Groceries,North,83,43.98,10,Sunny,0,40.77,Winter,3285.3059999999996
667,2022-01-07,P0008,Toys,East,72,32.77,0,Rainy,0,28.73,Spring,2359.44
668,2022-01-07,P0009,Clothing,South,186,48.29,0,Cloudy,1,45.31,Spring,8981.94
669,2022-01-07,P0010,Groceries,South,50,54.76,20,Cloudy,1,49.85,Autumn,2190.4
670,2022-01-07,P0011,Clothing,North,80,82.63,0,Snowy,1,82.31,Spring,6610.4
671,2022-01-07,P0012,Clothing,West,36,83.16,5,Sunny,1,86.66,Spring,2844.0719999999997
672,2022-01-07,P0013,Groceries,North,188,88.58,15,Snowy,0,86.76,Winter,14155.084
673,2022-01-07,P0014,Toys,South,227,60.49,10,Cloudy,0,64.27,Summer,12358.107
674,2022-01-07,P0015,Groceries,South,174,99.47,10,Cloudy,0,102.21,Autumn,15577.001999999999
675,2022-01-07,P0016,Furniture,North,139,82.21,0,Rainy,0,83.05,Autumn,11427.189999999999
676,2022-01-07,P0017,Furniture,South,4,94.56,10,Rainy,1,95.74,Summer,340.416
677,2022-01-07,P0018,Furniture,North,70,66.34,5,Sunny,1,68.05,Summer,4411.61
678,2022-01-07,P0019,Groceries,North,12,77.11,15,Snowy,1,81.9,Summer,786.5219999999999
679,2022-01-07,P0020,Toys,North,162,94.18,5,Rainy,0,93.94,Spring,14494.302000000001
760,2022-01-08,P0001,Clothing,East,23,24.71,20,Cloudy,1,25.11,Spring,454.66400000000004
761,2022-01-08,P0002,Toys,South,25,83.18,5,Rainy,0,85.58,Winter,1975.5249999999999
762,2022-01-08,P0003,Groceries,North,214,22.27,10,Snowy,1,20.86,Winter,4289.202
763,2022-01-08,P0004,Furniture,West,450,88.87,5,Rainy,0,93.03,Winter,37991.924999999996
764,2022-01-08,P0005,Groceries,South,148,11.43,20,Snowy,0,16.1,Summer,1353.312
765,2022-01-08,P0006,Furniture,North,69,20.5,15,Snowy,0,20.26,Autumn,1202.325
766,2022-01-08,P0007,Electronics,North,97,56.84,15,Cloudy,0,55.52,Autumn,4686.4580000000005
767,2022-01-08,P0008,Groceries,North,161,39.81,10,Rainy,1,39.59,Autumn,5768.469000000001
768,2022-01-08,P0009,Clothing,North,97,65.64,5,Sunny,1,62.4,Spring,6048.726
769,2022-01-08,P0010,Electronics,North,170,15.27,0,Cloudy,0,14.74,Spring,2595.9
770,2022-01-08,P0011,Toys,West,132,32.2,15,Snowy,1,36.91,Autumn,3612.84
771,2022-01-08,P0012,Furniture,East,145,92.42,10,Sunny,0,97.22,Winter,12060.81
772,2022-01-08,P0013,Electronics,West,331,20.13,20,Snowy,1,24.22,Autumn,5330.424
773,2022-01-08,P0014,Furniture,East,256,51.94,10,Snowy,0,54.91,Winter,11966.976
774,2022-01-08,P0015,Electronics,North,135,19.51,10,Sunny,1,24.3,Spring,2370.4650000000006
775,2022-01-08,P0016,Electronics,North,163,81.94,0,Cloudy,1,79.28,Summer,13356.22
776,2022-01-08,P0017,Toys,South,105,94.97,5,Rainy,0,91.43,Summer,9473.2575
777,2022-01-08,P0018,Toys,West,39,65.26,20,Cloudy,1,69.04,Summer,2036.1120000000003
778,2022-01-08,P0019,Groceries,East,41,21.49,20,Cloudy,1,23.14,Autumn,704.872
779,2022-01-08,P0020,Groceries,West,59,30.67,15,Sunny,1,25.88,Spring,1538.1005000000002
860,2022-01-09,P0001,Clothing,West,253,80.62,0,Rainy,0,79.01,Autumn,20396.86
861,2022-01-09,P0002,Toys,North,74,98.46,5,Snowy,1,101.18,Summer,6921.737999999999
862,2022-01-09,P0003,Toys,East,58,89.88,10,Snowy,0,94.46,Spring,4691.736
863,2022-01-09,P0004,Electronics,North,117,52.5,20,Snowy,1,54.96,Summer,4914.0
864,2022-01-09,P0005,Electronics,East,242,97.22,15,Cloudy,1,96.74,Winter,19998.154
865,2022-01-09,P0006,Electronics,East,97,65.21,5,Sunny,0,64.54,Winter,6009.101499999999
866,2022-01-09,P0007,Clothing,West,239,59.25,20,Cloudy,1,57.58,Winter,11328.6
867,2022-01-09,P0008,Clothing,West,307,46.11,20,Rainy,0,41.37,Summer,11324.616000000002
868,2022-01-09,P0009,Toys,North,250,88.74,15,Rainy,0,87.46,Spring,18857.25
869,2022-01-09,P0010,Furniture,North,57,72.52,5,Rainy,1,77.37,Autumn,3926.957999999999
870,2022-01-09,P0011,Furniture,East,156,34.38,0,Rainy,0,31.76,Autumn,5363.280000000001
871,2022-01-09,P0012,Toys,South,175,53.55,5,Snowy,0,52.61,Summer,8902.6875
872,2022-01-09,P0013,Electronics,South,6,40.8,15,Rainy,1,38.42,Autumn,208.07999999999998
873,2022-01-09,P0014,Toys,West,3,22.99,20,Snowy,0,26.24,Autumn,55.176
874,2022-01-09,P0015,Electronics,North,14,94.54,0,Rainy,1,89.88,Spring,1323.5600000000002
875,2022-01-09,P0016,Toys,North,85,45.82,10,Rainy,0,44.57,Summer,3505.23
876,2022-01-09,P0017,Toys,West,222,75.5,10,Snowy,1,79.83,Autumn,15084.9
877,2022-01-09,P0018,Groceries,East,259,19.47,15,Rainy,1,15.6,Winter,4286.3205
878,2022-01-09,P0019,Furniture,South,59,89.82,5,Rainy,1,92.02,Autumn,5034.410999999999
879,2022-01-09,P0020,Toys,West,245,61.06,15,Snowy,1,59.95,Winter,12715.745
960,2022-01-10,P0001,Groceries,East,280,20.82,0,Cloudy,0,17.27,Winter,5829.6
961,2022-01-10,P0002,Clothing,East,236,96.0,0,Snowy,0,98.28,Winter,22656.0
962,2022-01-10,P0003,Toys,West,107,85.09,0,Rainy,1,82.52,Summer,9104.630000000001
963,2022-01-10,P0004,Furniture,South,40,45.22,5,Sunny,1,43.46,Spring,1718.36
964,2022-01-10,P0005,Toys,North,27,98.97,10,Cloudy,1,100.43,Autumn,2404.971
965,2022-01-10,P0006,Toys,North,102,23.47,0,Sunny,0,28.37,Spring,2393.94
966,2022-01-10,P0007,Clothing,West,110,73.43,10,Sunny,1,70.42,Autumn,7269.5700000000015
967,2022-01-10,P0008,Electronics,North,135,71.06,10,Rainy,0,71.8,Winter,8633.79
968,2022-01-10,P0009,Groceries,East,12,52.85,5,Snowy,0,49.41,Autumn,602.49
969,2022-01-10,P0010,Groceries,South,259,89.31,0,Rainy,1,88.85,Autumn,23131.29
970,2022-01-10,P0011,Groceries,North,110,82.33,15,Sunny,1,78.97,Spring,7697.855
971,2022-01-10,P0012,Clothing,East,53,65.05,10,Snowy,1,67.32,Summer,3102.8849999999998
972,2022-01-10,P0013,Furniture,West,35,64.37,20,Cloudy,0,62.68,Spring,1802.3600000000004
973,2022-01-10,P0014,Electronics,West,349,75.88,15,Snowy,1,71.65,Autumn,22509.802
974,2022-01-10,P0015,Groceries,South,178,52.89,10,Snowy,0,55.83,Winter,8472.978000000001
975,2022-01-10,P0016,Clothing,West,201,78.7,0,Cloudy,1,82.16,Winter,15818.7
976,2022-01-10,P0017,Furniture,South,264,16.08,10,Snowy,1,13.32,Spring,3820.608
977,2022-01-10,P0018,Groceries,North,35,72.14,20,Rainy,0,74.88,Spring,2019.92
978,2022-01-10,P0019,Electronics,West,73,52.67,10,Cloudy,0,50.56,Spring,3460.4190000000003
979,2022-01-10,P0020,Electronics,West,215,49.52,10,Sunny,1,53.69,Spring,9582.12
1060,2022-01-11,P0001,Electronics,East,45,54.34,0,Rainy,1,53.68,Autumn,2445.3
1061,2022-01-11,P0002,Furniture,West,94,80.99,0,Rainy,0,83.43,Autumn,7613.0599999999995
1062,2022-01-11,P0003,Groceries,West,175,42.72,0,Rainy,0,38.37,Spring,7476.0
1063,2022-01-11,P0004,Clothing,West,136,99.09,10,Cloudy,0,103.69,Summer,12128.616
1064,2022-01-11,P0005,Clothing,East,107,94.44,10,Rainy,0,91.83,Spring,9094.572
1065,2022-01-11,P0006,Toys,East,89,58.61,20,Sunny,1,60.13,Winter,4173.032
1066,2022-01-11,P0007,Furniture,West,81,45.72,5,Rainy,0,47.8,Autumn,3518.1539999999995
1067,2022-01-11,P0008,Electronics,North,43,59.22,15,Sunny,0,55.57,Autumn,2164.491
1068,2022-01-11,P0009,Clothing,North,233,70.91,15,Rainy,1,67.24,Autumn,14043.725499999999
1069,2022-01-11,P0010,Clothing,East,386,16.38,0,Cloudy,1,14.52,Autumn,6322.679999999999
1070,2022-01-11,P0011,Clothing,West,37,90.11,5,Rainy,0,94.55,Summer,3167.3665
1071,2022-01-11,P0012,Clothing,East,206,29.01,5,Rainy,0,29.39,Summer,5677.2570000000005
1072,2022-01-11,P0013,Groceries,South,37,11.67,5,Snowy,0,12.67,Summer,410.2005
1073,2022-01-11,P0014,Clothing,South,116,33.62,10,Rainy,0,38.45,Summer,3509.928
1074,2022-01-11,P0015,Electronics,North,309,87.25,15,Snowy,0,87.55,Autumn,22916.212499999998
1075,2022-01-11,P0016,Furniture,South,186,47.55,0,Cloudy,0,45.4,Winter,8844.3
1076,2022-01-11,P0017,Clothing,South,59,94.4,10,Cloudy,0,91.19,Summer,5012.64
1077,2022-01-11,P0018,Clothing,West,139,38.1,10,Cloudy,0,36.76,Winter,4766.31
1078,2022-01-11,P0019,Toys,East,25,71.45,10,Rainy,0,68.39,Summer,1607.625
1079,2022-01-11,P0020,Furniture,West,356,30.99,20,Rainy,0,28.33,Autumn,8825.952
1160,2022-01-12,P0001,Toys,North,39,46.26,20,Rainy,0,48.81,Autumn,1443.312
1161,2022-01-12,P0002,Furniture,East,95,96.09,15,Cloudy,1,91.75,Autumn,7759.267500000001
1162,2022-01-12,P0003,Furniture,West,31,96.29,0,Cloudy,1,91.64,Winter,2984.9900000000002
1163,2022-01-12,P0004,Clothing,East,4,60.78,20,Rainy,1,62.27,Spring,194.496
1164,2022-01-12,P0005,Clothing,North,286,38.17,15,Snowy,0,39.05,Summer,9279.127
1165,2022-01-12,P0006,Clothing,West,145,48.26,15,Rainy,0,48.19,Summer,5948.045
1166,2022-01-12,P0007,Groceries,North,104,25.58,5,Cloudy,1,24.76,Spring,2527.3039999999996
1167,2022-01-12,P0008,Toys,North,190,17.82,10,Cloudy,0,15.65,Spring,3047.2200000000003
1168,2022-01-12,P0009,Furniture,West,200,28.98,20,Snowy,1,31.75,Spring,4636.8
1169,2022-01-12,P0010,Electronics,East,82,73.59,5,Cloudy,0,69.41,Summer,5732.661
1170,2022-01-12,P0011,Clothing,South,119,57.96,20,Sunny,1,60.72,Winter,5517.792
1171,2022-01-12,P0012,Groceries,South,141,46.66,0,Rainy,0,43.93,Winter,6579.0599999999995
1172,2022-01-12,P0013,Groceries,North,29,66.05,20,Rainy,1,64.08,Winter,1532.36
1173,2022-01-12,P0014,Electronics,South,309,82.95,15,Sunny,1,82.11,Winter,21786.817499999997
1174,2022-01-12,P0015,Electronics,South,95,22.29,15,Snowy,1,19.97,Spring,1799.9174999999998
1175,2022-01-12,P0016,Groceries,East,14,77.84,15,Rainy,0,79.21,Summer,926.2959999999999
1176,2022-01-12,P0017,Clothing,East,400,10.15,0,Sunny,1,9.8,Autumn,4060.0
1177,2022-01-12,P0018,Electronics,South,167,69.07,15,Cloudy,1,67.45,Spring,9804.486499999999
1178,2022-01-12,P0019,Groceries,East,96,27.43,0,Sunny,0,25.35,Spring,2633.2799999999997
1179,2022-01-12,P0020,Electronics,South,205,76.86,15,Cloudy,1,79.76,Summer,13392.855
1260,2022-01-13,P0001,Groceries,West,171,35.78,20,Rainy,1,32.92,Summer,4894.704000000001
1261,2022-01-13,P0002,Toys,North,103,82.18,0,Sunny,1,85.48,Autumn,8464.54
1262,2022-01-13,P0003,Electronics,North,5,81.44,0,Sunny,1,84.84,Autumn,407.2
1263,2022-01-13,P0004,Clothing,South,416,24.51,5,Sunny,0,22.21,Spring,9686.351999999999
1264,2022-01-13,P0005,Groceries,East,54,59.92,5,Snowy,0,56.51,Winter,3073.896
1265,2022-01-13,P0006,Clothing,South,41,97.47,0,Sunny,1,96.01,Winter,3996.27
1266,2022-01-13,P0007,Furniture,East,221,54.21,15,Rainy,0,49.77,Winter,10183.3485
1267,2022-01-13,P0008,Electronics,East,127,30.87,5,Rainy,0,31.31,Winter,3724.4655000000002
1268,2022-01-13,P0009,Groceries,East,71,46.5,15,Sunny,1,49.65,Winter,2806.275
1269,2022-01-13,P0010,Groceries,West,247,26.18,15,Cloudy,1,28.66,Spring,5496.491
1270,2022-01-13,P0011,Toys,East,159,46.31,10,Rainy,0,47.54,Summer,6626.961
1271,2022-01-13,P0012,Furniture,North,80,36.07,5,Sunny,0,31.96,Summer,2741.3199999999997
1272,2022-01-13,P0013,Toys,North,166,52.7,0,Sunny,0,56.52,Winter,8748.2
1273,2022-01-13,P0014,Toys,West,32,57.56,0,Sunny,1,54.09,Summer,1841.92
1274,2022-01-13,P0015,Toys,East,189,22.91,20,Rainy,0,19.44,Winter,3463.992
1275,2022-01-13,P0016,Groceries,South,78,21.47,0,Cloudy,0,23.94,Summer,1674.6599999999999
1276,2022-01-13,P0017,Toys,East,2,94.49,20,Rainy,0,98.42,Autumn,151.184
1277,2022-01-13,P0018,Electronics,North,13,93.45,20,Sunny,1,95.53,Spring,971.8800000000001
1278,2022-01-13,P0019,Furniture,South,114,98.23,20,Rainy,1,93.38,Winter,8958.576000000001
1279,2022-01-13,P0020,Groceries,West,6,55.04,20,Snowy,1,54.55,Autumn,264.192
1360,2022-01-14,P0001,Groceries,South,39,64.07,20,Rainy,0,68.04,Winter,1998.9839999999997
1361,2022-01-14,P0002,Toys,East,85,49.18,15,Snowy,0,50.22,Winter,3553.255
1362,2022-01-14,P0003,Clothing,South,123,79.55,0,Sunny,1,75.68,Winter,9784.65
1363,2022-01-14,P0004,Groceries,West,91,62.9,0,Cloudy,0,62.12,Winter,5723.9
1364,2022-01-14,P0005,Electronics,South,31,47.42,0,Snowy,0,51.45,Summer,1470.02
1365,2022-01-14,P0006,Groceries,North,77,33.13,20,Snowy,0,32.98,Summer,2040.8080000000002
1366,2022-01-14,P0007,Furniture,East,101,20.74,5,Cloudy,0,21.15,Autumn,1990.0029999999997
1367,2022-01-14,P0008,Electronics,South,383,55.2,20,Sunny,1,51.6,Summer,16913.280000000002
1368,2022-01-14,P0009,Electronics,South,283,42.27,10,Cloudy,1,43.73,Autumn,10766.169000000002
1369,2022-01-14,P0010,Toys,East,255,10.08,0,Cloudy,1,12.39,Winter,2570.4
1370,2022-01-14,P0011,Groceries,North,294,92.02,5,Sunny,0,95.7,Autumn,25701.185999999998
1371,2022-01-14,P0012,Groceries,South,41,98.56,15,Sunny,1,99.33,Summer,3434.816
1372,2022-01-14,P0013,Electronics,West,249,91.75,20,Snowy,0,89.27,Autumn,18276.600000000002
1373,2022-01-14,P0014,Groceries,North,304,31.54,5,Cloudy,1,29.59,Spring,9108.751999999999
1374,2022-01-14,P0015,Toys,South,324,57.88,20,Rainy,1,55.65,Spring,15002.496000000003
1375,2022-01-14,P0016,Groceries,South,58,22.33,20,Sunny,1,17.54,Spring,1036.1119999999999
1376,2022-01-14,P0017,Furniture,West,155,52.22,10,Cloudy,1,55.89,Summer,7284.69
1377,2022-01-14,P0018,Clothing,North,328,88.53,20,Rainy,0,87.14,Autumn,23230.272
